POSTCODE,LON,LAT
00097,-53.783355,-29.7650583
00098,-46.6008867,-23.7719967
00099,-50.0415183,-24.84217
00100,-42.026425,-18.7882133
00110,-46.709623,-23.454863
00115,-48.033985,-16.4356183
00120,-46.6509755,-23.530143
00122,-45.8367433,-23.1721733
00123,-38.3937428,-12.9567797
00124,-45.5507867,-22.89151585
00125,-48.1954275,-16.67146
00126,-47.9746967,-16.404585
00127,-45.0236467,-22.5869383
00129,-46.5914892,-22.90848585
00130,-46.94135,-23.12732335
00131,-46.640871,-23.5542554
00132,-46.89836,-23.1168467
00133,-47.3389425,-23.4284792
00134,-38.88035165,-12.31379665
00136,-47.2456133,-22.3819067
00139,-46.7261567,-22.7577367
00150,-46.44198835,-23.89851
00155,-46.6117626,-23.5728941
00156,-47.95869,-16.3555
00160,-50.4887633,-21.9309449
00161,-50.5779383,-21.142135
00169,-51.3182167,-20.9280283
00170,-49.11841,-22.3627533
00175,-49.8159525,-22.05794335
00180,-47.3410533,-23.5474917
00181,-47.0657575,-23.57957335
00182,-48.3159367,-23.81791335
00184,-48.70668,-24.0926683
00186,-48.31043835,-22.822485
00187,-48.8069333,-23.161735
00190,-51.3677767,-22.1060817
00198,-54.7956283,-22.17031665
00200,-43.261835,-22.897820000000003
00202,-43.20396335,-22.93481585
00203,-46.602236,-23.602441
00216,-43.3808632,-22.8178382
00217,-46.6645606,-23.463795
00221,-43.1962733,-22.9002583
00222,-48.1627283,-16.699595
00225,-48.05966165,-16.482797499999997
00226,-47.99752,-16.40173
00228,-46.5745906,-23.4560685
00230,-43.664192,-22.9129886
00235,-47.975645,-16.4056417
00239,-44.27801,-23.12711335
00240,-42.9272995,-22.8554414
00243,-46.6395409,-23.4812699
00244,-48.1627283,-16.699595
00248,-42.9549692,-22.7443224
00254,-47.9291133,-16.2719
00255,-47.95869,-16.3555
00261,-46.6559607,-23.4730851
00263,-46.6460319,-23.4585951
00265,-46.6576197,-23.4596511
00266,-48.0387017,-16.4381333
00267,-46.665551,-23.4598785
00270,-40.5022717,-19.6192833
00279,-40.4975767,-19.624605
00284,-46.6979989,-23.485083
00285,-46.7093474,-23.4404955
00286,-42.6499567,-22.31268835
00287,-46.4140365,-23.5114155
00290,-40.545505000000006,-19.621565
00292,-40.4908975,-20.58161915
00293,-41.3017033,-20.67102
00297,-40.5070375,-19.61164165
00299,-39.9115633,-19.4084417
00300,-44.1672167,-20.024745
00306,-46.5873314,-23.5384666
00309,-46.567564,-23.5515285
00315,-46.5700717,-23.5783065
00316,-46.5688985,-23.577602
00318,-46.5778121,-23.5652593
00320,-44.035215,-19.9371246
00324,-46.5691374,-23.5518303
00328,-47.9742217,-16.39453
00334,-46.5668433,-23.5657338
00335,-46.5493707,-23.5693692
00336,-46.5321535,-23.5721293
00340,-43.84980915,-19.90377165
00345,-43.7210283,-19.7974033
00347,-43.7035,-19.765845
00350,-42.2933375,-18.83971665
00353,-41.91442,-19.7378233
00354,-47.9746917,-16.3525517
00355,-46.502925,-23.5349918
00357,-46.4821133,-23.563746
00359,-43.37797415,-19.46153415
00363,-44.35632,-21.1181517
00365,-49.6423325,-19.2209317
00370,-46.544375,-23.5077765
00371,-45.39039,-21.580225
00380,-48.5834017,-19.0248033
00383,-48.516555,-19.008435
00384,-48.4236617,-18.9469467
00387,-46.76656665,-18.4537733
00389,-41.4425433,-17.81635
00394,-44.01775085,-16.671185
00396,-46.4731006,-23.6074872
00398,-41.584305,-17.736895
00404,-46.6403935,-23.6015035
00405,-46.6548058,-23.6425021
00410,-38.4261324,-12.9146488
00413,-46.6202697,-23.6120218
00415,-46.4452265,-23.757694
00426,-46.606885,-23.595731
00428,-38.1302941,-12.7014992
00432,-46.6363956,-23.6596766
00434,-46.644562,-23.638728
00438,-38.5165833,-12.6599922
00441,-38.9691967,-12.11269835
00450,-40.88792,-15.1104967
00452,-39.983543350000005,-13.8330683
00455,-39.14894915,-14.6622667
00456,-39.37635,-14.9320183
00458,-39.5770517,-16.4295817
00460,-39.3721083,-14.94965165
00477,-46.7047914,-23.5615891
00478,-45.8328717,-11.781565
00480,-38.33161,-12.1731667
00482,-46.7122833,-23.79623
00485,-46.71108,-23.80103
00486,-46.7885098,-23.729494
00487,-46.64842665,-23.768615
00488,-46.7118883,-23.7905717
00489,-40.61827335,-9.5984925
00490,-40.6407617,-9.63721
00496,-46.786189,-23.7263245
00510,-46.7593182,-23.5035574
00515,-48.2181517,-7.3270417
00530,-34.9073783,-7.985795
00535,-35.0637733,-7.9002117
00536,-46.7549763,-23.5805937
00540,-46.7584627,-23.5036172
00544,-46.695439,-23.527873
